identity,city,cep,logradouro,bairro,complemento,num_endereco,uf
781.361.413-88@done.msg.net,null,null,null,null,null,null,null
298.983.057-50@done.msg.net,null,null,null,null,null,null,null
406.972.733-91@done.msg.net,null,null,null,null,null,null,null
755.617.160-87@done.msg.net,null,null,null,null,null,null,null
889.928.553-56@done.msg.net,null,null,null,null,null,null,null
265.154.202-05@done.msg.net,null,null,null,null,null,null,null
192.472.587-38@done.msg.net,null,null,null,null,null,null,null
856.576.911-94@done.msg.net,null,null,null,null,null,null,null
555.532.522-02@done.msg.net,null,null,null,null,null,null,null
720.898.351-92@done.msg.net,Cerritos,95285-449,Franklin Road,Conn Falls,Suite 720,408,Colorado
060.838.972-25@done.msg.net,null,null,null,null,null,null,null
588.443.201-94@done.msg.net,Gloverton,13920-450,Albert Green,Carter Estates,Apt. 373,379,Missouri
383.777.826-86@done.msg.net,Christianside,87966-130,Hettinger Roads,Main Road,Apt. 393,255,Tennessee
621.871.550-22@done.msg.net,null,null,null,null,null,null,null
863.171.868-34@done.msg.net,null,null,null,null,null,null,null
672.323.961-40@done.msg.net,Lake Akeemside,10648-440,Maple Drive,S 9th Street,Apt. 291,369,Louisiana
160.607.589-26@done.msg.net,East Tess,15716-646,The Laurels,Nelson Street,Suite 725,199,Alabama
301.514.330-52@done.msg.net,null,null,null,null,null,null,null
000.405.778-98@done.msg.net,null,null,null,null,null,null,null
534.008.742-47@done.msg.net,null,null,null,null,null,null,null
666.412.863-03@done.msg.net,Larkinview,80488-273,W Bridge Street,Murphy Corners,Apt. 911,764,Mississippi
472.533.227-17@done.msg.net,Fond du Lac,60234-434,Depot Street,Trantow Throughway,Apt. 725,240,Mississippi
125.142.753-29@done.msg.net,null,null,null,null,null,null,null
778.070.931-27@done.msg.net,null,null,null,null,null,null,null
041.278.345-00@done.msg.net,West Sydneyview,96987-519,Rosalinda Mill,S Mill Street,Suite 379,909,Louisiana
074.958.152-00@done.msg.net,Vista,76730-050,Funk Parks,E Washington Street,Apt. 679,235,West Virginia
212.060.577-32@done.msg.net,null,null,null,null,null,null,null
275.815.254-25@done.msg.net,null,null,null,null,null,null,null
273.500.159-81@done.msg.net,null,null,null,null,null,null,null
103.031.137-72@done.msg.net,null,null,null,null,null,null,null
096.065.148-30@done.msg.net,null,null,null,null,null,null,null
822.307.142-53@done.msg.net,Shreveport,17452-620,Lee Street,Otis Course,Suite 230,785,Rhode Island
468.098.741-35@done.msg.net,null,null,null,null,null,null,null
978.486.991-31@done.msg.net,null,null,null,null,null,null,null
480.565.929-32@done.msg.net,null,null,null,null,null,null,null
967.850.394-19@done.msg.net,null,null,null,null,null,null,null
072.106.535-63@done.msg.net,North Leilafurt,09753-486,Emmerich Rapids,Wilderman Island,Apt. 546,115,Iowa
014.272.918-49@done.msg.net,Fort Mia,29422-631,Bruen Spring,Cherry Tree Close,Suite 762,897,New York
262.419.435-84@done.msg.net,Gilesland,50586-197,E Union Street,Burnice Valleys,Apt. 361,007,Indiana
305.517.219-91@done.msg.net,null,null,null,null,null,null,null
694.625.732-64@done.msg.net,West Bennieland,39108-380,Lockman Cove,Boundary Road,Suite 856,605,Wisconsin
351.548.416-97@done.msg.net,Cruickshankside,82638-566,S 7th Street,Leuschke Road,Suite 107,562,Nevada
709.456.020-27@done.msg.net,East Edmondtown,03075-213,Aurelia Highway,Carolyn Loop,Suite 457,838,Maryland
214.275.117-71@done.msg.net,null,null,null,null,null,null,null
327.286.492-46@done.msg.net,null,null,null,null,null,null,null
931.335.569-08@done.msg.net,Makaylafort,50543-936,Hahn Walk,Beech Grove,Apt. 342,369,Virginia
634.813.368-76@done.msg.net,null,null,null,null,null,null,null
215.983.870-96@done.msg.net,null,null,null,null,null,null,null
941.351.837-41@done.msg.net,null,null,null,null,null,null,null
295.856.387-46@done.msg.net,Judsonberg,90446-292,Parisian Plain,Collins Fords,Suite 565,378,Mississippi
663.522.218-40@done.msg.net,Hettingercester,07764-297,N Lincoln Street,E Central Avenue,Suite 177,239,Pennsylvania
840.303.730-32@done.msg.net,null,null,null,null,null,null,null
728.408.720-10@done.msg.net,South Bend,70488-675,Lynch Plain,N Monroe Street,Suite 867,775,Tennessee
454.117.710-61@done.msg.net,Johnsfield,38156-012,Justine Road,Ash Road,Apt. 233,833,Oregon
789.016.323-16@done.msg.net,Vicentacester,15364-504,Russel Forge,Brekke Squares,Suite 216,553,Wyoming
611.576.269-22@done.msg.net,South Busterport,63757-675,County Road,Hirthe Center,Apt. 699,422,Texas
927.219.814-90@done.msg.net,null,null,null,null,null,null,null
806.426.418-25@done.msg.net,Travisburgh,68457-629,Nolan View,N Railroad Street,Suite 474,141,South Dakota
965.611.799-78@done.msg.net,null,null,null,null,null,null,null
137.842.388-22@done.msg.net,null,null,null,null,null,null,null
586.253.401-11@done.msg.net,null,null,null,null,null,null,null
305.268.902-64@done.msg.net,null,null,null,null,null,null,null
688.316.466-19@done.msg.net,null,null,null,null,null,null,null
920.540.464-58@done.msg.net,New Maybell,67663-534,Farm Close,King Street,null,null,New Hampshire
830.317.011-94@done.msg.net,Port Antonetteport,26568-995,Joey Vista,Heather Close,Suite 629,959,Maryland
676.228.367-13@done.msg.net,West Dayna,26071-322,Michael Knolls,Old Lane,Apt. 288,447,Indiana
836.321.440-14@done.msg.net,Kieramouth,37896-461,Collins Village,Reilly Ranch,Apt. 188,482,Indiana
164.937.294-36@done.msg.net,null,null,null,null,null,null,null
080.081.722-18@done.msg.net,Morgan Hill,54120-776,Derick Square,Bailey Common,Apt. 768,371,Vermont
627.966.360-93@done.msg.net,Florissant,30987-010,Leuschke Trail,Haag Fields,Suite 721,349,Connecticut
043.837.164-18@done.msg.net,Lake Andreane,92202-104,MacGyver Estates,Harris Key,Apt. 658,689,Louisiana
547.263.478-01@done.msg.net,null,null,null,null,null,null,null
434.390.185-88@done.msg.net,null,null,null,null,null,null,null
882.694.043-15@done.msg.net,null,null,null,null,null,null,null
732.943.606-19@done.msg.net,East Prestonshire,29756-999,W Jefferson Street,Agustin Field,Apt. 662,080,Michigan
932.767.329-95@done.msg.net,null,null,null,null,null,null,null
734.404.197-64@done.msg.net,Mustafaview,71100-258,Johnson Lights,Erin Squares,Suite 956,960,Wyoming
836.624.918-65@done.msg.net,null,null,null,null,null,null,null
340.241.377-57@done.msg.net,null,null,null,null,null,null,null
369.442.203-23@done.msg.net,West Milan,37497-229,Evangeline Burg,Amalia Via,Suite 186,581,Texas
697.688.144-17@done.msg.net,null,null,null,null,null,null,null
922.166.977-08@done.msg.net,null,null,null,null,null,null,null
925.187.635-98@done.msg.net,South Paul,45893-490,Osinski Views,Stacy Alley,Suite 768,429,Florida
657.964.699-39@done.msg.net,null,null,null,null,null,null,null
714.694.120-92@done.msg.net,null,null,null,null,null,null,null
533.772.739-29@done.msg.net,Port Vernatown,94626-699,Shane Estates,N Main,Apt. 557,128,Connecticut
437.748.827-94@done.msg.net,null,null,null,null,null,null,null
269.935.405-39@done.msg.net,null,null,null,null,null,null,null
745.364.815-64@done.msg.net,null,null,null,null,null,null,null
856.959.997-18@done.msg.net,West Trystan,16396-641,Kunze Parkway,Ada Parks,Apt. 466,577,Wyoming
597.613.867-85@done.msg.net,null,null,null,null,null,null,null
013.029.441-92@done.msg.net,null,null,null,null,null,null,null
720.311.660-28@done.msg.net,null,null,null,null,null,null,null
628.763.061-59@done.msg.net,null,null,null,null,null,null,null
740.212.344-24@done.msg.net,null,null,null,null,null,null,null
650.759.142-72@done.msg.net,null,null,null,null,null,null,null
154.409.119-52@done.msg.net,null,null,null,null,null,null,null
977.603.101-35@done.msg.net,null,null,null,null,null,null,null
829.983.139-53@done.msg.net,null,null,null,null,null,null,null
835.557.201-39@done.msg.net,null,null,null,null,null,null,null
577.090.117-88@done.msg.net,null,null,null,null,null,null,null
418.226.439-67@done.msg.net,Ratkefurt,15461-196,Hillside Road,Claremont Road,Apt. 734,547,Michigan
892.539.289-30@done.msg.net,null,null,null,null,null,null,null
166.119.820-91@done.msg.net,null,null,null,null,null,null,null
752.670.280-11@done.msg.net,Fort Allie,77212-488,Nellie Grove,N Main,Apt. 187,476,Michigan
760.510.482-26@done.msg.net,null,null,null,null,null,null,null
194.075.148-37@done.msg.net,Jamesonbury,18070-274,Davon Neck,S Central Avenue,null,null,Washington
964.245.373-38@done.msg.net,Philadelphia,21346-024,Lincoln Street,Kestrel Close,Apt. 796,623,Alaska
138.729.624-11@done.msg.net,Heaneyville,01490-141,Rippin Key,Kreiger Villages,Apt. 708,927,Louisiana
431.013.717-78@done.msg.net,null,null,null,null,null,null,null
410.507.568-52@done.msg.net,Lake Ned,31652-035,Elmira Curve,Fisher Park,Suite 807,343,Nebraska
095.346.418-21@done.msg.net,null,null,null,null,null,null,null
812.538.615-79@done.msg.net,null,null,null,null,null,null,null
183.493.433-29@done.msg.net,null,null,null,null,null,null,null
057.514.707-69@done.msg.net,null,null,null,null,null,null,null
898.202.793-22@done.msg.net,East Cordiaworth,87328-366,Veronica Parkways,Meadow Way,Suite 737,203,Kentucky
689.250.075-83@done.msg.net,null,null,null,null,null,null,null
654.223.427-83@done.msg.net,New Valentina,75797-506,Zelma Garden,Verner Forest,Suite 719,387,Washington
724.002.019-39@done.msg.net,null,null,null,null,null,null,null
219.368.473-59@done.msg.net,null,null,null,null,null,null,null
365.262.371-22@done.msg.net,Rennerfield,09516-390,Vada Cliffs,Castle Street,Apt. 823,322,Tennessee
480.138.879-77@done.msg.net,Millcreek,40038-819,Windler Station,Hilario Cape,Apt. 690,395,New Mexico
372.758.087-68@done.msg.net,null,null,null,null,null,null,null
779.125.317-75@done.msg.net,null,null,null,null,null,null,null
246.321.568-66@done.msg.net,Mohrland,35920-080,Richmond Road,Janelle Corners,Apt. 527,657,Idaho
264.827.412-21@done.msg.net,null,null,null,null,null,null,null
550.189.980-93@done.msg.net,null,null,null,null,null,null,null
097.003.828-36@done.msg.net,New Ashton,81252-599,Batz Meadow,Aufderhar Circle,Suite 308,466,Texas
082.402.554-44@done.msg.net,New Annabellstead,06968-985,Grant Summit,Ernser Light,Suite 850,296,Massachusetts
038.484.883-33@done.msg.net,Fort Emmanuelworth,12702-359,Kory Spurs,Heaney Cliffs,Suite 303,760,Oregon
649.592.477-19@done.msg.net,null,null,null,null,null,null,null
370.228.552-39@done.msg.net,Alhambra,97433-318,Vincenzo Row,Veterans Memorial Drive,null,950,South Dakota
537.771.374-58@done.msg.net,Chazborough,59369-829,N 4th Street,Reilly Valleys,Suite 863,920,Alaska
823.897.006-42@done.msg.net,Port Lexieburgh,74989-270,Greta Way,Iliana Overpass,Suite 710,193,Massachusetts
847.086.649-17@done.msg.net,null,null,null,null,null,null,null
631.537.190-47@done.msg.net,null,null,null,null,null,null,null
882.993.166-39@done.msg.net,South Deon,63767-411,Johnathan Camp,Cow Lane,Apt. 529,744,Hawaii
502.217.795-14@done.msg.net,Schadenton,34837-316,Carissa Turnpike,Shields Inlet,Apt. 585,140,Vermont
032.989.533-84@done.msg.net,null,null,null,null,null,null,null
162.805.779-45@done.msg.net,null,null,null,null,null,null,null
751.945.465-42@done.msg.net,Reingerfort,46882-604,S Front Street,Dickinson Knoll,Apt. 458,706,Indiana
472.752.008-16@done.msg.net,null,null,null,null,null,null,null
243.629.403-07@done.msg.net,null,null,null,null,null,null,null
565.460.370-94@done.msg.net,null,null,null,null,null,null,null
809.593.326-98@done.msg.net,null,null,null,null,null,null,null
293.032.415-72@done.msg.net,null,null,null,null,null,null,null
773.016.030-93@done.msg.net,null,null,null,null,null,null,null
297.220.402-68@done.msg.net,North Jason,22625-396,Willow Grove,Gleichner Shores,Suite 133,223,Alabama
400.281.128-62@done.msg.net,New Kara,33746-597,Hodkiewicz Forges,W Broad Street,Apt. 716,575,Vermont
747.115.130-66@done.msg.net,Lake Bernardoton,57257-732,Franey Lane,Manor Drive,Apt. 902,428,Oklahoma
895.032.910-49@done.msg.net,Port Jillianstead,66931-796,Koch Well,Johns Coves,Apt. 476,307,Idaho
917.036.712-96@done.msg.net,null,null,null,null,null,null,null
073.354.520-78@done.msg.net,Broomfield,57963-877,Treutel Neck,Agustina Cove,Suite 948,761,Indiana
306.399.021-00@done.msg.net,null,null,null,null,null,null,null
585.870.844-79@done.msg.net,null,null,null,null,null,null,null
229.491.766-40@done.msg.net,null,null,null,null,null,null,null
036.391.415-12@done.msg.net,Durganport,23698-920,Manor Close,Graham Island,Suite 559,837,Wisconsin
506.981.956-62@done.msg.net,null,null,null,null,null,null,null
668.554.326-24@done.msg.net,Fort Isadore,34475-467,Birch Road,Cassidy Harbor,Suite 800,639,North Carolina
629.173.194-37@done.msg.net,East Arnoborough,49338-093,7th Avenue,Princes Street,Apt. 826,623,Minnesota
928.581.255-24@done.msg.net,Powlowskiland,39272-075,Sheridan Streets,Considine Ports,Suite 107,735,Michigan
767.508.365-39@done.msg.net,Waukegan,38993-306,Jacey Glen,Herman Manor,Suite 801,948,New York
610.611.937-69@done.msg.net,North Rodolfoport,24829-620,King's Road,S West Street,Suite 760,356,Georgia
974.561.327-33@done.msg.net,null,null,null,null,null,null,null
457.689.662-77@done.msg.net,East Pierceville,48159-030,Flatley Radial,Church View,Suite 559,213,Wyoming
698.553.308-54@done.msg.net,null,null,null,null,null,null,null
192.003.340-51@done.msg.net,Rauburgh,01985-495,S Washington Street,Chapel Road,Apt. 135,626,New Mexico
857.759.353-46@done.msg.net,null,null,null,null,null,null,null
466.579.597-44@done.msg.net,null,null,null,null,null,null,null
961.532.762-88@done.msg.net,Fort Karine,21689-430,Commercial Street,Tierra Walk,Suite 171,688,Connecticut
805.735.744-80@done.msg.net,null,null,null,null,null,null,null
345.016.519-49@done.msg.net,Tamiabury,18815-304,Nicklaus Fork,Woodlands Close,Apt. 798,241,Nevada
648.734.164-17@done.msg.net,null,null,null,null,null,null,null
125.819.465-63@done.msg.net,Alecbury,27285-443,Natasha Motorway,Domenick Coves,Apt. 470,984,Utah
766.340.225-70@done.msg.net,null,null,null,null,null,null,null
437.191.486-56@done.msg.net,null,null,null,null,null,null,null
993.296.217-62@done.msg.net,null,null,null,null,null,null,null
537.098.767-69@done.msg.net,Schambergerburgh,99542-934,Braeden Heights,Bernie Lights,Apt. 523,425,Delaware
095.042.360-45@done.msg.net,null,null,null,null,null,null,null
253.490.143-64@done.msg.net,South Aurore,80003-522,Vanessa Neck,Florine Lodge,Apt. 740,795,Virginia
020.796.001-52@done.msg.net,Janessamouth,27884-167,Osinski Orchard,Hayes Park,Apt. 871,775,New Mexico
932.578.069-19@done.msg.net,East Lavada,60224-524,Cliff Road,Laburnum Grove,Apt. 144,572,Minnesota
051.134.416-98@done.msg.net,null,null,null,null,null,null,null
700.663.199-85@done.msg.net,null,null,null,null,null,null,null
801.862.758-20@done.msg.net,San Bernardino,63219-739,Rau Forges,Boyer Points,Apt. 814,129,Arizona
606.996.604-05@done.msg.net,null,null,null,null,null,null,null
889.221.543-42@done.msg.net,null,null,null,null,null,null,null
231.775.767-20@done.msg.net,Chandler,79489-617,Castle Road,Kutch Shoals,Suite 962,164,North Carolina
941.371.099-32@done.msg.net,null,null,null,null,null,null,null
938.045.650-59@done.msg.net,Hahnbury,64542-787,Stroman Stravenue,Amalia Walk,Suite 560,035,Arizona
233.766.542-28@done.msg.net,null,null,null,null,null,null,null
057.977.191-88@done.msg.net,null,null,null,null,null,null,null
199.348.586-87@done.msg.net,Port Daren,63794-879,S Park Street,Anissa Rue,Apt. 742,914,Mississippi
749.235.407-36@done.msg.net,East Aiyana,15577-654,Feest Shore,E Broad Street,Suite 712,178,Oklahoma
322.364.453-76@done.msg.net,null,null,null,null,null,null,null
685.845.980-45@done.msg.net,null,null,null,null,null,null,null
214.840.387-31@done.msg.net,Lenorefurt,64569-417,Anderson Mountains,Moor Lane,Suite 126,223,Wyoming
874.840.489-40@done.msg.net,null,null,null,null,null,null,null
875.726.821-85@done.msg.net,null,null,null,null,null,null,null
763.687.803-45@done.msg.net,null,null,null,null,null,null,null
230.164.128-18@done.msg.net,Manteworth,10555-527,Bashirian Mountain,Hawthorn Avenue,Suite 942,496,Nebraska
841.688.775-43@done.msg.net,Mallieberg,94196-121,Kaylie Place,O'Conner Isle,Suite 589,874,Indiana
613.697.144-62@done.msg.net,null,null,null,null,null,null,null
852.252.707-69@done.msg.net,Port Jessie,01403-953,Ibrahim Spurs,Jones Wells,Suite 832,260,Florida
051.345.292-87@done.msg.net,null,null,null,null,null,null,null
463.135.187-38@done.msg.net,null,null,null,null,null,null,null
100.089.344-66@done.msg.net,null,null,null,null,null,null,null
951.274.321-71@done.msg.net,Doral,95731-048,Lawrence Street,Franey Viaduct,Apt. 955,794,Iowa
272.628.349-09@done.msg.net,null,null,null,null,null,null,null
242.045.561-26@done.msg.net,null,null,null,null,null,null,null
467.147.971-95@done.msg.net,West Mauricio,56288-443,Stroman Corner,E River Road,Suite 364,364,Utah
283.931.493-81@done.msg.net,Streichview,01969-152,Toni Brook,Dean Shoals,Apt. 258,370,Maine
