identity,id_pedido,produto,cliente,operadora,plan_name,plano,plano_description,plano_description_1,plano_tv,primeira_mensagem,primeira_mensagem_1,tag,application_identifier,auto_sku,canal,fila,identificador_pedido,modalidade,modalidade_1,opcao,pontos,portabilidade,price,price_avancado,prioridade,protocolo_wci,sku_tv,termo,tipo_fatura,vencimento_fatura
781.361.413-88@done.msg.net,null,demergo,null,null,null,null,null,null,null,null,Utrimque celebrer cicuta aliquam.,null,F_eBenTe3hKuuokkfHqS6,null,abeo,null,null,null,null,null,null,null,null,null,2609348421353472,C_0UpkajtK1A-Byeq37cg,null,null,null,null
298.983.057-50@done.msg.net,null,benigne,null,null,null,null,null,null,null,null,Laboriosam basium velut.,null,6UJk71Zw1p2EgMUoFq-hA,null,demitto,null,null,null,null,null,null,null,null,null,6399185265885184,S5Wk_FE9QpwWMv4cnXdkI,null,null,null,null
406.972.733-91@done.msg.net,null,victus,null,null,null,null,null,null,null,null,Cribro circumvenio vapulus.,null,bOp-LkLrqR4BhMO-bJq3-,null,comis,null,null,null,null,null,null,null,null,null,6210810531545088,Tk9NbMz2GjqS4nyIXb5tj,null,null,null,null
755.617.160-87@done.msg.net,null,confugo,null,null,null,null,null,null,null,null,Venia clementia una ter aestas.,null,oUkyJatk1xEUbksMXkEQp,null,adinventitias,null,null,null,null,null,null,null,null,null,5927832049942528,kuQ2remNUMNp6y06AFdfi,null,null,null,null
889.928.553-56@done.msg.net,null,trucido,null,null,null,null,null,null,null,null,Vulgus quas caelestis cilicium coma admiratio depopulo stabilis temperantia.,null,5FpYvgnpt_cFacnalmS05,null,aliquam,null,null,null,null,null,null,null,null,null,3578143206014976,vPx_TRkByEPb9QKDdI6h9,null,null,null,null
265.154.202-05@done.msg.net,null,asporto,null,null,null,null,null,null,null,null,Caritas depereo aliqua venia iure.,null,LotwwvSYB4YNhhKINxfqA,null,tametsi,null,null,null,null,null,null,null,null,null,6251138875654144,GJpYmEYC5RRfTt-vhdiVN,null,null,null,null
192.472.587-38@done.msg.net,null,demum,null,null,null,null,null,null,null,null,Defleo quasi ad officiis degero adeptio.,null,wPIta9vxQvhykhh5OBR97,null,valens,null,null,null,null,null,null,null,null,null,4614983786692608,Ej3hZ-f4Yv0kLpEc3rB2K,null,null,null,null
856.576.911-94@done.msg.net,null,vero,null,null,null,null,null,null,null,null,Curriculum voveo commodi deleo amitto adulatio.,null,HtHm5f4Ut9zHihGbXcfTo,null,ea,null,null,null,null,null,null,null,null,null,288611629006848,g9lB2aDN9jrzJL33svNXN,null,null,null,null
555.532.522-02@done.msg.net,null,coadunatio,null,null,null,null,null,null,null,null,Deleniti nobis tamisium succurro aggredior clarus quod reiciendis.,null,JRvjQIowrWQSEpTuC8ysN,null,esse,null,null,null,null,null,null,null,null,null,864392746893312,4DeOJ4IM8l4C25b8Opq4Y,null,null,null,null
720.898.351-92@done.msg.net,null,arguo,null,null,null,null,null,null,null,null,Substantia trans demonstro dolorum absum voluptates adimpleo deputo.,null,emuxNHLPUDK7iUZigvt9W,null,conor,null,ellkpFsv74MqSsOx4esox,null,null,null,null,null,null,null,692669896458240,w5sfZ1oLtBDvpUIxiBHwP,null,null,null,null
060.838.972-25@done.msg.net,null,altus,null,null,null,null,null,null,null,null,Theologus corporis pecus ullam degenero itaque demulceo aliqua.,null,FcU6W1j_zS-ItW4-ADSE-,null,audax,null,null,null,null,null,null,null,null,null,1625638947520512,9TvAai1o0fwW2CAxLiRFo,null,null,null,null
588.443.201-94@done.msg.net,SRGcvMHzrblF3-Q9eCV1V,defaeco,null,null,creptio,concido,Cupressus colligo amplexus.,null,null,null,Dolorem quis aveho tempus cumque coma benevolentia.,null,mOpKQcAQj88D8GETQglvh,2,adipiscor,null,vV0VXtu-jghtWLJkazKnD,null,null,null,null,taceo,132.00,null,7154008426807296,r-wk4_Nx12kCYRYsGrkDu,null,turba,taceo,19/06/2024
383.777.826-86@done.msg.net,aZVRit_wfODNLfJR1BhAW,caelestis,null,null,vivo,capio,Deludo virga agnitio curiositas suggero caelestis.,null,null,null,Custodia velum absconditus sum arx tempore absens aptus abstergo.,null,NqAxdbpHy9AT3BGeu2nsl,8,auxilium,null,Im4pXq9_IVOmtUQd2lAd3,null,null,null,null,clarus,196.00,null,3734600750727168,BP6A27hBE5wyB7B_MPtkZ,null,null,verbera,19/06/2024
621.871.550-22@done.msg.net,null,creta,null,null,null,null,null,null,null,null,Coaegresco exercitationem degusto tumultus terreo dedecor virgo.,null,mgwEGzCvgkKtUpdR9xnfZ,null,totam,null,null,null,null,null,null,null,null,null,1529390743683072,cRHrkAVmdNRLQ6f4nG3EW,null,null,null,null
863.171.868-34@done.msg.net,null,cum,null,null,null,null,null,null,null,null,Brevis desolo sol error cupiditas vere.,null,MopFLTlos7MngzJZxsCSd,null,ratione,null,null,null,null,null,null,null,null,null,1671535819489280,-0GBi9UfvEURXqHS2-V_k,null,null,null,null
672.323.961-40@done.msg.net,null,cura,null,null,totidem,antiquus,Stillicidium vulnero sulum.,null,null,null,Provident adeo est timor ademptio taceo pel repellat.,null,dD6xKJusgsd-AaGyTAhW6,0,vallum,null,V5E67Ej8xQaoAwUZrSs8R,null,null,null,null,charisma,227.00,null,529230475558912,6rsnQazeyocZv6DPbUrEd,null,null,vulgo,19/06/2024
160.607.589-26@done.msg.net,null,valeo,null,null,conservo,virga,Auctus capto teres decerno.,null,null,null,Via subiungo reprehenderit labore at bellum.,null,o9tVrK14u3UHAL8U18gLD,3,venustas,null,39TUtTVneptVPtRx4Mla_,null,null,null,null,audio,326.00,null,4252788924088320,BApl0WmULota6kn0b_z83,null,null,null,null
301.514.330-52@done.msg.net,null,molestias,null,null,null,null,null,null,null,null,Comparo angulus decet.,null,OdlEyZIE7sxaQmmwVTJr9,null,suus,null,null,null,null,null,null,null,null,null,8363307832442880,_OrSh80Bn8V1LWrUdyJC8,null,null,null,null
000.405.778-98@done.msg.net,null,amiculum,null,null,null,null,null,null,null,null,Vindico dignissimos decens.,null,xSTlrRXN3bs0j4C2nrFs0,null,asporto,null,null,null,null,null,null,null,null,null,1747548815491072,oAOUN0LH8I3KJkZYJhMDf,null,null,null,null
534.008.742-47@done.msg.net,null,tripudio,null,null,null,null,null,null,null,null,Arto aranea ventus accommodo.,null,Jz71CLuct-N2eP1gCLBGz,null,valeo,null,null,null,null,null,null,null,null,null,1008376790122496,XCy6zOW99EzjwOB5WZ5SL,null,null,null,null
666.412.863-03@done.msg.net,null,demulceo,null,null,appello,cohibeo,Testimonium depopulo audio vindico aegre.,null,null,null,Substantia ullus vorax distinctio artificiose sustineo decens odit ea.,null,hL7EW4reALwzQc-F85ywv,5,crudelis,null,GWbJ1YCO0gy64fe1Q5pFd,null,null,null,null,quasi,447.00,null,5728362595090432,W63aQ3mb-vRnGRdo4QkE7,null,null,null,null
472.533.227-17@done.msg.net,null,similique,null,null,succedo,null,Ulterius demulceo solitudo taceo capillus conservo apto crinis.,null,null,null,Traho aperio chirographum damnatio tertius attero veritatis delectus adeo.,null,6w1nrQDLnfRUof7AF_vNq,3,ullam,null,ypJLZPQMsgKmnWM5HDZvM,null,null,null,null,null,343.00,null,4223874658992128,P9NlmrVE00LAta8defuUK,null,null,null,null
125.142.753-29@done.msg.net,null,abstergo,null,null,null,null,null,null,null,null,Stipes vado quibusdam velit communis temeritas debitis vomica tremo claustrum.,null,4kH0PnQCTA8hT-huIZNCN,null,admoneo,null,null,null,null,null,null,null,null,null,6109655767973888,xUU75Aa82emxdcRJYU2FL,null,null,null,null
778.070.931-27@done.msg.net,null,sursum,null,null,null,null,null,null,null,null,Aedificium varius auctus desipio testimonium aegrotatio claudeo aranea reprehenderit.,null,ldvqnu10ZSNsttf1wFGz_,null,in,null,null,null,null,null,null,null,null,null,954358644604928,K0Moy4WnNT-pwd7s0-onp,null,null,null,null
041.278.345-00@done.msg.net,null,vindico,null,null,cruciamentum,bene,Urbanus turpis explicabo absque territo conatus sopor vinco.,null,null,null,Atqui tremo defero chirographum carmen.,decipio,_rzck5VcSfbHRuB_ljU81,9,coruscus,null,kTF4ZM4vSwgViQ3OU0SC9,null,null,null,null,ab,153.00,null,6846633530621952,g8uMJRQdtMs49bDlfgkOA,null,null,null,null
074.958.152-00@done.msg.net,null,atrocitas,null,bis,vesco,null,Tener vitae cultura suasoria harum corrupti correptius.,null,null,null,Cedo cursim unus suppono tripudio conicio.,null,JRZmaqfRw4nZFp4nrfKEY,0,adaugeo,null,YIFcpNrv718Zg8kQP0Lqp,sodalitas,null,null,null,null,250.00,null,856240741679104,d3jIgK-Ux9AzderWfbWuM,null,null,videlicet,19/06/2024
212.060.577-32@done.msg.net,null,sol,null,null,null,null,null,null,null,null,Pecco solio stella.,null,u1yUYE5sjyUs1ozL24BfV,null,cupressus,null,null,null,null,null,null,null,null,null,9003319448043520,cG0dRGTSZVLjgGSC5Gvfp,null,null,null,null
275.815.254-25@done.msg.net,null,tondeo,null,null,null,null,null,null,null,null,Dedico conor varius tumultus crastinus vilis cras rem.,null,g8C6XGCNLUcWOIy9N-JiS,null,thema,null,null,null,null,null,null,null,null,null,7457760264323072,ooixyLsVfeLM4EKLRz9yG,null,null,null,null
273.500.159-81@done.msg.net,null,ater,null,null,null,null,null,null,null,null,Aggredior denique solio validus admiratio studio succurro speculum ascit.,null,m04WdVTPz3y_LSjJOutkY,null,pecus,null,null,null,null,null,null,null,null,null,6159053604519936,-395BAEhEA_FCYB-EPLbd,null,null,null,null
103.031.137-72@done.msg.net,null,acceptus,null,null,null,null,null,null,null,null,Atque acies traho confero nulla incidunt stillicidium trado tempore timor.,null,K-gSGYkJUmEkqDlcSDwPn,null,pecto,null,null,null,null,null,null,null,null,null,7157042573737984,g8U4-zKhWZfR3Ccs_-tvg,null,null,null,null
096.065.148-30@done.msg.net,null,aveho,null,null,null,null,null,null,null,null,Tabella stillicidium balbus deleo accedo.,null,oT9M4fFSuBnTpg40Qzj3c,null,aeger,null,null,null,null,null,null,null,null,null,1302013969170432,5Hv6PZjZTvAfb4CU5tlo8,null,null,null,null
822.307.142-53@done.msg.net,null,dedico,null,aliquid,turba,null,Decet tremo usitas confido theatrum vulariter ut infit admoveo villa.,null,null,null,Universe contra annus.,null,kWgY8ncu8OQlmkinkDxbf,2,tero,null,null,vigor,null,null,null,null,99.00,null,7203879817052160,vyy03C-koXXt39xJGNTtU,null,null,null,null
468.098.741-35@done.msg.net,null,alter,null,null,null,null,null,null,null,null,Umquam benigne amo depopulo viduo venustas canonicus.,null,vtwxqet7oE9Wg1BUcMEL0,null,maiores,null,null,null,null,null,null,null,null,null,8096578975825920,88qslB9HWP3mO7tMqVGfP,null,null,null,null
978.486.991-31@done.msg.net,null,denego,null,null,null,null,null,null,null,null,Sperno modi denuo speciosus spoliatio valens deficio rem.,null,nBPLNYFBw9jFQ1gDW679D,null,tondeo,null,null,null,null,null,null,null,null,null,8695463895105536,AybNrkUsmwBh4J0kukxiW,null,null,null,null
480.565.929-32@done.msg.net,null,tutis,null,null,null,null,null,null,null,null,Commodo copiose thesaurus tardus aeneus temporibus.,null,bLFCU0TjIa7tksDAEzo0i,null,cras,null,null,null,null,null,null,null,null,null,6158641023418368,wfXGpoWQlXa-mukkUJ8g0,null,null,null,null
967.850.394-19@done.msg.net,null,vel,null,null,null,null,null,null,null,null,Tener capio cupressus.,null,W8cTp50CFeGf7brI7hsZH,null,rem,null,null,null,null,null,null,null,null,null,3120868962074624,rSlHCjwKanjQEmJA5eGwo,null,null,null,null
072.106.535-63@done.msg.net,null,cogito,null,null,aliqua,admitto,Versus consectetur addo beneficium ara decens.,null,null,null,Angulus pauper valens anser amplitudo aeger cui ventus asperiores bene.,null,yF5UZ9bh8FAoa2zhSEhEt,6,cattus,null,vFiGgvROcE-KdYYJph1JK,null,null,null,null,cauda,482.00,null,4356057799327744,oBiobU63EQId8d3piSIj6,null,null,null,null
014.272.918-49@done.msg.net,null,vigilo,null,null,null,null,null,null,null,null,Turba adduco repudiandae.,null,6FTE8epRINEnj4nmcwB7j,null,aestivus,null,-7FlxN13ICOwL1m6WkXvq,null,null,null,null,null,null,null,6919419104067584,GBaMERkIF1JhfjODG2EGJ,null,null,null,null
